date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:52:27	120/120	---MCZ	200	added ('OK')	text/plain	date:Wed,%2011%20Jan%202023%2008:52:27%20GMT	https://jevelin.shufflehound.com/robots.txt		(from )
03:52:27	174366/174366	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Jan%202023%2008:52:27%20GMT	https://jevelin.shufflehound.com/personal-blog/	/home/hacker-p/websites/javelin-blog/jevelin.shufflehound.com/personal-blog/index.html	(from )
03:52:29	7021/7021	---MCZ	200	added ('OK')	text/css	etag:W/%22637bad53-1b6d%22	https://jevelin.shufflehound.com/personal-blog/wp-content/cache/autoptimize/28/css/autoptimize_541e2ced151704f4ff1844c6de47ec02.css	/home/hacker-p/websites/javelin-blog/jevelin.shufflehound.com/personal-blog/wp-content/cache/autoptimize/28/css/autoptimize_541e2ced151704f4ff1844c6de47ec02.css	(from https://jevelin.shufflehound.com/personal-blog/)
03:52:29	1629980/1629980	---MCZ	200	added ('OK')	text/css	etag:W/%22637bb8ea-18df1c%22	https://jevelin.shufflehound.com/personal-blog/wp-content/cache/autoptimize/28/css/autoptimize_cdb657e7e6aacbecf002c6f28f30a76d.css	/home/hacker-p/websites/javelin-blog/jevelin.shufflehound.com/personal-blog/wp-content/cache/autoptimize/28/css/autoptimize_cdb657e7e6aacbecf002c6f28f30a76d.css	(from https://jevelin.shufflehound.com/personal-blog/)
03:52:31	10111/10111	---MCZ	200	added ('OK')	text/css	etag:W/%226135d275-277f%22	https://jevelin.shufflehound.com/personal-blog/wp-content/cache/autoptimize/28/css/autoptimize_single_bb262890bd5f66db3f78be8648c5b130.css?ver=202443355	/home/hacker-p/websites/javelin-blog/jevelin.shufflehound.com/personal-blog/wp-content/cache/autoptimize/28/css/autoptimize_single_bb262890bd5f66db3f78be8648c5b130807c.css	(from https://jevelin.shufflehound.com/personal-blog/)
03:52:31	822/822	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%222d78d35d297a1a02ef266b2402000723%22	https://jevelin.shufflehound.com/personal-blog/comments/feed/	/home/hacker-p/websites/javelin-blog/jevelin.shufflehound.com/personal-blog/comments/feed/index.html	(from https://jevelin.shufflehound.com/personal-blog/)
03:52:31	20901/20901	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22d8f417e6587fc738f9ab135dc11f8aca%22	https://jevelin.shufflehound.com/personal-blog/feed/	/home/hacker-p/websites/javelin-blog/jevelin.shufflehound.com/personal-blog/feed/index.html	(from https://jevelin.shufflehound.com/personal-blog/)
03:52:33	115363/115363	---MCZ	200	added ('OK')	application/json	date:Wed,%2011%20Jan%202023%2008:52:32%20GMT	https://jevelin.shufflehound.com/personal-blog/wp-json/wp/v2/pages/140	/home/hacker-p/websites/javelin-blog/jevelin.shufflehound.com/personal-blog/wp-json/wp/v2/pages/140.json	(from https://jevelin.shufflehound.com/personal-blog/)
03:52:34	139/139	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2011%20Jan%202023%2008:52:34%20GMT	https://jevelin.shufflehound.com/personal-blog/xmlrpc.php?rsd	/home/hacker-p/websites/javelin-blog/jevelin.shufflehound.com/personal-blog/xmlrpc0db0.php	(from https://jevelin.shufflehound.com/personal-blog/)
03:52:34	961831/961831	---MCZ	200	added ('OK')	application/json	date:Wed,%2011%20Jan%202023%2008:52:33%20GMT	https://jevelin.shufflehound.com/personal-blog/wp-json/	/home/hacker-p/websites/javelin-blog/jevelin.shufflehound.com/personal-blog/wp-json/index.html	(from https://jevelin.shufflehound.com/personal-blog/)
